file,Spectral Points,Tgas,Tref,Trot,Tvib,add_at_used,broadening_max_width,broadening_method,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,export_rovib_fraction,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,parsum_mode,path_length,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,rot_distribution,self_absorption,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding,spectral_points
20210807_Tvib300K_Trot300K_10.spec,72000,300,296,300,300,cython,220,fft,0.162016868591309,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628281343.66035,radis,23458,0,0,0,1,1,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00026607513427734375, 'reinitialize': {'copy_database': 0.0006234645843505859, 'memory_usage_warning': 0.0013058185577392578, 'reset_population': 3.24249267578125e-05, 'value': 0.0019800662994384766}, 'scaled_eq_linestrength': 0.005589723587036133, 'calc_lineshift': 0.0009069442749023438, 'calc_hwhm': 0.013237476348876953, 'generate_wavenumber_arrays': 0.0014104843139648438, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.027147531509399414, 'DLM_Initialized_vectors': 8.821487426757812e-06, 'DLM_closest_matching_line': 0.0013136863708496094, 'DLM_Distribute_lines': 0.002323150634765625, 'DLM_convolve': 0.10494375228881836, 'value': 0.13602066040039062}, 'calc_other_spectral_quan': 0.002512693405151367, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,23458,boltzmann,4,5,0.01,0.01,2500,2610,2000,1890,cm-1,0.01,52002,
20210807_Tvib300K_Trot300K_11.spec,74000,300,296,300,300,cython,240,fft,0.217373371124268,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628281344.12835,radis,23458,0,0,0,1,1,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0002593994140625, 'reinitialize': {'copy_database': 0.0007350444793701172, 'memory_usage_warning': 0.0013113021850585938, 'reset_population': 3.3855438232421875e-05, 'value': 0.002099275588989258}, 'scaled_eq_linestrength': 0.005951642990112305, 'calc_lineshift': 0.0009429454803466797, 'calc_hwhm': 0.014541387557983398, 'generate_wavenumber_arrays': 0.0014488697052001953, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.026856422424316406, 'DLM_Initialized_vectors': 9.059906005859375e-06, 'DLM_closest_matching_line': 0.0013723373413085938, 'DLM_Distribute_lines': 0.0023152828216552734, 'DLM_convolve': 0.15869903564453125, 'value': 0.18953251838684082}, 'calc_other_spectral_quan': 0.0025031566619873047, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,23458,boltzmann,4,5,0.01,0.01,2500,2620,2000,1880,cm-1,0.01,52002,
20210807_Tvib300K_Trot300K_12.spec,76000,300,296,300,300,cython,260,fft,0.191150188446045,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628281344.57635,radis,23458,0,0,0,1,1,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0003185272216796875, 'reinitialize': {'copy_database': 0.0007815361022949219, 'memory_usage_warning': 0.001631021499633789, 'reset_population': 3.7670135498046875e-05, 'value': 0.0024700164794921875}, 'scaled_eq_linestrength': 0.006020307540893555, 'calc_lineshift': 0.0008025169372558594, 'calc_hwhm': 0.013694524765014648, 'generate_wavenumber_arrays': 0.001508951187133789, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.027463912963867188, 'DLM_Initialized_vectors': 9.298324584960938e-06, 'DLM_closest_matching_line': 0.0013713836669921875, 'DLM_Distribute_lines': 0.002275228500366211, 'DLM_convolve': 0.13248348236083984, 'value': 0.16389799118041992}, 'calc_other_spectral_quan': 0.0023453235626220703, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,23458,boltzmann,4,5,0.01,0.01,2500,2630,2000,1870,cm-1,0.01,52002,
20210807_Tvib300K_Trot300K_13.spec,78000,300,296,300,300,cython,280,fft,0.581744909286499,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628281345.45635,radis,23458,0,0,0,1,1,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00023889541625976562, 'reinitialize': {'copy_database': 0.0004961490631103516, 'memory_usage_warning': 0.0013508796691894531, 'reset_population': 3.24249267578125e-05, 'value': 0.0018951892852783203}, 'scaled_eq_linestrength': 0.0059452056884765625, 'calc_lineshift': 0.0008778572082519531, 'calc_hwhm': 0.013643980026245117, 'generate_wavenumber_arrays': 0.0016181468963623047, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.028432607650756836, 'DLM_Initialized_vectors': 8.58306884765625e-06, 'DLM_closest_matching_line': 0.0014681816101074219, 'DLM_Distribute_lines': 0.0026874542236328125, 'DLM_convolve': 0.5199003219604492, 'value': 0.5550541877746582}, 'calc_other_spectral_quan': 0.0023789405822753906, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,23458,boltzmann,4,5,0.01,0.01,2500,2640,2000,1860,cm-1,0.01,52002,
20210807_Tvib300K_Trot300K_14.spec,80000,300,296,300,300,cython,300,fft,0.180165767669678,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628281345.88435,radis,23458,0,0,0,1,1,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0002410411834716797, 'reinitialize': {'copy_database': 0.0005733966827392578, 'memory_usage_warning': 0.0015954971313476562, 'reset_population': 3.1948089599609375e-05, 'value': 0.002216339111328125}, 'scaled_eq_linestrength': 0.00711822509765625, 'calc_lineshift': 0.0008034706115722656, 'calc_hwhm': 0.012910127639770508, 'generate_wavenumber_arrays': 0.0014345645904541016, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.0310060977935791, 'DLM_Initialized_vectors': 8.821487426757812e-06, 'DLM_closest_matching_line': 0.0013327598571777344, 'DLM_Distribute_lines': 0.005394697189331055, 'DLM_convolve': 0.1144866943359375, 'value': 0.15290117263793945}, 'calc_other_spectral_quan': 0.002454996109008789, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,23458,boltzmann,4,5,0.01,0.01,2500,2650,2000,1850,cm-1,0.01,52002,
20210807_Tvib300K_Trot300K_15.spec,82000,300,296,300,300,cython,320,fft,0.189208745956421,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628281346.32035,radis,23458,0,0,0,1,1,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0002472400665283203, 'reinitialize': {'copy_database': 0.0005826950073242188, 'memory_usage_warning': 0.0012578964233398438, 'reset_population': 3.24249267578125e-05, 'value': 0.0018887519836425781}, 'scaled_eq_linestrength': 0.00949859619140625, 'calc_lineshift': 0.0008373260498046875, 'calc_hwhm': 0.012985467910766602, 'generate_wavenumber_arrays': 0.0016696453094482422, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.030623674392700195, 'DLM_Initialized_vectors': 1.0251998901367188e-05, 'DLM_closest_matching_line': 0.0016756057739257812, 'DLM_Distribute_lines': 0.006275177001953125, 'DLM_convolve': 0.1203310489654541, 'value': 0.15960907936096191}, 'calc_other_spectral_quan': 0.002357006072998047, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,23458,boltzmann,4,5,0.01,0.01,2500,2660,2000,1840,cm-1,0.01,52002,
20210807_Tvib300K_Trot300K_16.spec,84000,300,296,300,300,cython,340,fft,0.682947874069214,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628281347.26435,radis,23458,0,0,0,1,1,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00024247169494628906, 'reinitialize': {'copy_database': 0.0004608631134033203, 'memory_usage_warning': 0.0012748241424560547, 'reset_population': 3.170967102050781e-05, 'value': 0.0017819404602050781}, 'scaled_eq_linestrength': 0.007429361343383789, 'calc_lineshift': 0.001373291015625, 'calc_hwhm': 0.014989614486694336, 'generate_wavenumber_arrays': 0.0014965534210205078, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.031271934509277344, 'DLM_Initialized_vectors': 1.0967254638671875e-05, 'DLM_closest_matching_line': 0.0015308856964111328, 'DLM_Distribute_lines': 0.006267547607421875, 'DLM_convolve': 0.6128737926483154, 'value': 0.652735710144043}, 'calc_other_spectral_quan': 0.002755880355834961, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,23458,boltzmann,4,5,0.01,0.01,2500,2670,2000,1830,cm-1,0.01,52002,
20210807_Tvib300K_Trot300K_17.spec,86000,300,296,300,300,cython,360,fft,0.711028099060059,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628281348.22835,radis,23458,0,0,0,1,1,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0002448558807373047, 'reinitialize': {'copy_database': 0.0004553794860839844, 'memory_usage_warning': 0.0012216567993164062, 'reset_population': 5.507469177246094e-05, 'value': 0.0017497539520263672}, 'scaled_eq_linestrength': 0.009749889373779297, 'calc_lineshift': 0.0009655952453613281, 'calc_hwhm': 0.013442754745483398, 'generate_wavenumber_arrays': 0.0017669200897216797, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.032944679260253906, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.0013988018035888672, 'DLM_Distribute_lines': 0.002657175064086914, 'DLM_convolve': 0.6407907009124756, 'value': 0.680626630783081}, 'calc_other_spectral_quan': 0.0023813247680664062, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,23458,boltzmann,4,5,0.01,0.01,2500,2680,2000,1820,cm-1,0.01,52002,
20210807_Tvib300K_Trot300K_18.spec,88000,300,296,300,300,cython,380,fft,0.714897394180298,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628281349.19635,radis,23458,0,0,0,1,1,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0002467632293701172, 'reinitialize': {'copy_database': 0.000476837158203125, 'memory_usage_warning': 0.0012505054473876953, 'reset_population': 3.147125244140625e-05, 'value': 0.0017740726470947266}, 'scaled_eq_linestrength': 0.005845546722412109, 'calc_lineshift': 0.002251148223876953, 'calc_hwhm': 0.014472484588623047, 'generate_wavenumber_arrays': 0.0015947818756103516, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.03527951240539551, 'DLM_Initialized_vectors': 8.106231689453125e-06, 'DLM_closest_matching_line': 0.001352548599243164, 'DLM_Distribute_lines': 0.005417823791503906, 'DLM_convolve': 0.6435372829437256, 'value': 0.6862349510192871}, 'calc_other_spectral_quan': 0.002379179000854492, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,23458,boltzmann,4,5,0.01,0.01,2500,2690,2000,1810,cm-1,0.01,52002,
20210807_Tvib300K_Trot300K_19.spec,90000,300,296,300,300,cython,400,fft,0.725989103317261,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.137535078801657,0.201802888812016,0,0,1E-06,1,"1,2,3,4,5,6",1628281350.17235,radis,23458,0,0,0,1,1,CO,CO_2000_2500_23458_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0002446174621582031, 'reinitialize': {'copy_database': 0.00045990943908691406, 'memory_usage_warning': 0.001245260238647461, 'reset_population': 3.218650817871094e-05, 'value': 0.0017523765563964844}, 'scaled_eq_linestrength': 0.008107423782348633, 'calc_lineshift': 0.0013856887817382812, 'calc_hwhm': 0.013661623001098633, 'generate_wavenumber_arrays': 0.0015172958374023438, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.03460359573364258, 'DLM_Initialized_vectors': 8.821487426757812e-06, 'DLM_closest_matching_line': 0.0014388561248779297, 'DLM_Distribute_lines': 0.0024933815002441406, 'DLM_convolve': 0.6553559303283691, 'value': 0.6967427730560303}, 'calc_other_spectral_quan': 0.002473592758178711, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,23458,boltzmann,4,5,0.01,0.01,2500,2700,2000,1800,cm-1,0.01,52002,
