,Index,file,DLM_Distribute_lines,DLM_Initialized_vectors,DLM_closest_matching_line,DLM_convolve,Spectral Points,Tgas,Tref,Trot,Tvib,_check_line_databank,_generate_wavenumber_arrays,add_at_used,broadening_max_width,broadening_method,calc_hwhm,calc_line_broadening,calc_lineshift,calc_other_spectral_quan,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,path_length,precompute_DLM_lineshapes,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,reinitialize,reinitialize_1,reinitialize_2,reinitialize_3,reinitialize_4,rot_distribution,scaled_eq_linestrength,self_absorption,spectrum_calc_before_obj,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding,Complexity_Voigt,Complexity_FFT,complexity_final_fft,complexity_final_fft_w
10,11,20210722_Tvib300K_Trot300K_10.spec,0.019788265228271998,1.12056732177734e-05,0.006636142730713,42.3477122783661,2230000.0,300,296,300,300,0.00038814544677699995,0.038214921951293994,cython,300,fft,0.003334760665894,43.9313766956329,0.0008823871612549999,0.09147787094116198,44.08,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951459.8496199,radis,60000,0,0,0,1,1,CO,CO_2000_24000_60000_fft,simple,hapi,1,1.54837918281555,1000,"{'_check_line_databank': 0.00038814544677734375, 'reinitialize_1': 0.0034651756286621094, 'reinitialize_2': 1.1444091796875e-05, 'reinitialize_3': 0.0015897750854492188, 'reinitialize_4': 3.0279159545898438e-05, 'reinitialize': 0.005102634429931641, 'scaled_eq_linestrength': 0.007097959518432617, 'calc_lineshift': 0.0008823871612548828, 'calc_hwhm': 0.0033347606658935547, '_generate_wavenumber_arrays': 0.038214921951293945, 'precompute_DLM_lineshapes': 1.5483791828155518, 'DLM_Initialized_vectors': 1.1205673217773438e-05, 'DLM_closest_matching_line': 0.006636142730712891, 'DLM_Distribute_lines': 0.019788265228271484, 'DLM_convolve': 42.34771227836609, 'calc_line_broadening': 43.931376695632935, 'calc_other_spectral_quan': 0.09147787094116211, 'spectrum_calc_before_obj': 44.077940464019775}",0,0.9.29,0.005102634429932001,0.003465175628662,1.1444091796875e-05,0.001589775085449,3.02791595458984e-05,boltzmann,0.0070979595184330006,1,44.0779404640198,X,1,652868,boltzmann,6,5,0.01,0.01,24000,24150,2000,1850,cm-1,0.01,2230001,421443329084.62036,1010508614.4757515,44.76278443086112,44.00765016041898
11,12,20210722_Tvib300K_Trot300K_11.spec,0.019191980361938997,1.09672546386719e-05,0.007016897201538,44.155066251754796,2430000.0,300,296,300,300,0.0003399848937990001,0.04171562194824201,cython,300,fft,0.003538608551025,45.8095514774323,0.0008118152618410001,0.101618051528931,45.97,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951537.62825,radis,60000,0,0,0,1,1,CO,CO_2000_26000_60000_fft,simple,hapi,1,1.61895322799683,1000,"{'_check_line_databank': 0.0003399848937988281, 'reinitialize_1': 0.003067493438720703, 'reinitialize_2': 1.0728836059570312e-05, 'reinitialize_3': 0.0016057491302490234, 'reinitialize_4': 3.0994415283203125e-05, 'reinitialize': 0.004720926284790039, 'scaled_eq_linestrength': 0.007241249084472656, 'calc_lineshift': 0.0008118152618408203, 'calc_hwhm': 0.0035386085510253906, '_generate_wavenumber_arrays': 0.04171562194824219, 'precompute_DLM_lineshapes': 1.6189532279968262, 'DLM_Initialized_vectors': 1.0967254638671875e-05, 'DLM_closest_matching_line': 0.007016897201538086, 'DLM_Distribute_lines': 0.019191980361938477, 'DLM_convolve': 44.15506625175476, 'calc_line_broadening': 45.80955147743225, 'calc_other_spectral_quan': 0.10161805152893066, 'spectrum_calc_before_obj': 45.96960377693176}",0,0.9.29,0.00472092628479,0.003067493438721,1.07288360595703e-05,0.0016057491302489998,3.09944152832031e-05,boltzmann,0.007241249084473001,1,45.9696037769318,X,1,652868,boltzmann,6,5,0.01,0.01,26000,26150,2000,1850,cm-1,0.01,2430001,461181957769.09827,1107607258.7478094,49.06273922682534,48.2362961184671
12,13,20210722_Tvib300K_Trot300K_12.spec,0.019476175308228,1.1444091796875e-05,0.007253646850585999,47.13688230514529,2630000.0,300,296,300,300,0.00038957595825199996,0.045485973358154005,cython,300,fft,0.003592491149902,48.9567952156067,0.000782012939453,0.10833835601806599,49.13,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951621.19486,radis,60000,0,0,0,1,1,CO,CO_2000_28000_60000_fft,simple,hapi,1,1.78211975097656,1000,"{'_check_line_databank': 0.0003895759582519531, 'reinitialize_1': 0.003164052963256836, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.0017538070678710938, 'reinitialize_4': 3.0994415283203125e-05, 'reinitialize': 0.004966020584106445, 'scaled_eq_linestrength': 0.007544994354248047, 'calc_lineshift': 0.000782012939453125, 'calc_hwhm': 0.0035924911499023438, '_generate_wavenumber_arrays': 0.0454859733581543, 'precompute_DLM_lineshapes': 1.7821197509765625, 'DLM_Initialized_vectors': 1.1444091796875e-05, 'DLM_closest_matching_line': 0.0072536468505859375, 'DLM_Distribute_lines': 0.01947617530822754, 'DLM_convolve': 47.136882305145264, 'calc_line_broadening': 48.95679521560669, 'calc_other_spectral_quan': 0.1083383560180664, 'spectrum_calc_before_obj': 49.12795972824097}",0,0.9.29,0.004966020584106,0.003164052963257,1.12056732177734e-05,0.001753807067871,3.09944152832031e-05,boltzmann,0.007544994354248,1,49.127959728240995,X,1,652868,boltzmann,6,5,0.01,0.01,28000,28150,2000,1850,cm-1,0.01,2630001,501073846178.81744,1205216768.7706714,53.385317403906086,52.48719027996274
13,14,20210722_Tvib300K_Trot300K_13.spec,0.019268512725830002,1.16825103759766e-05,0.007488489151001,53.138421535491894,2830000.0,300,296,300,300,0.00035023689269999994,0.048720836639404005,cython,300,fft,0.0037455558776859996,55.0787494182587,0.00104284286499,0.120379447937012,55.27,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951713.9135401,radis,60000,0,0,0,1,1,CO,CO_2000_30000_60000_fft,simple,hapi,1,1.90200018882751,1000,"{'_check_line_databank': 0.0003502368927001953, 'reinitialize_1': 0.0034852027893066406, 'reinitialize_2': 1.1205673217773438e-05, 'reinitialize_3': 0.0017054080963134766, 'reinitialize_4': 3.218650817871094e-05, 'reinitialize': 0.005240678787231445, 'scaled_eq_linestrength': 0.007115840911865234, 'calc_lineshift': 0.0010428428649902344, 'calc_hwhm': 0.003745555877685547, '_generate_wavenumber_arrays': 0.0487208366394043, 'precompute_DLM_lineshapes': 1.9020001888275146, 'DLM_Initialized_vectors': 1.1682510375976562e-05, 'DLM_closest_matching_line': 0.0074884891510009766, 'DLM_Distribute_lines': 0.019268512725830078, 'DLM_convolve': 53.13842153549194, 'calc_line_broadening': 55.07874941825867, 'calc_other_spectral_quan': 0.12037944793701172, 'spectrum_calc_before_obj': 55.26541185379028}",0,0.9.29,0.005240678787231,0.003485202789307,1.12056732177734e-05,0.001705408096313,3.2186508178710904e-05,boltzmann,0.007115840911864999,1,55.26541185379029,X,1,652868,boltzmann,6,5,0.01,0.01,30000,30150,2000,1850,cm-1,0.01,2830001,541107316099.59,1303298217.1637118,57.72879508657171,56.75863735747965
14,15,20210722_Tvib300K_Trot300K_14.spec,0.021595001220703,1.19209289550781e-05,0.008336782455444001,57.201613187789896,3030000.0,300,296,300,300,0.000351190567017,0.053822517395019996,cython,300,fft,0.003983974456787,59.337785959243796,0.000887155532837,0.128703117370606,59.54,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951813.94421,radis,60000,0,0,0,1,1,CO,CO_2000_32000_60000_fft,simple,hapi,1,2.09497475624084,1000,"{'_check_line_databank': 0.00035119056701660156, 'reinitialize_1': 0.0030355453491210938, 'reinitialize_2': 1.0728836059570312e-05, 'reinitialize_3': 0.0016293525695800781, 'reinitialize_4': 2.9802322387695312e-05, 'reinitialize': 0.004711627960205078, 'scaled_eq_linestrength': 0.007330179214477539, 'calc_lineshift': 0.0008871555328369141, 'calc_hwhm': 0.003983974456787109, '_generate_wavenumber_arrays': 0.05382251739501953, 'precompute_DLM_lineshapes': 2.0949747562408447, 'DLM_Initialized_vectors': 1.1920928955078125e-05, 'DLM_closest_matching_line': 0.008336782455444336, 'DLM_Distribute_lines': 0.021595001220703125, 'DLM_convolve': 57.20161318778992, 'calc_line_broadening': 59.337785959243774, 'calc_other_spectral_quan': 0.12870311737060547, 'spectrum_calc_before_obj': 59.537641286849976}",0,0.9.29,0.004711627960205,0.003035545349121,1.07288360595703e-05,0.0016293525695799998,2.98023223876953e-05,boltzmann,0.0073301792144780005,1,59.537641286850004,X,1,652868,boltzmann,6,5,0.01,0.01,32000,32150,2000,1850,cm-1,0.01,3030001,581272344421.7025,1401818193.5612178,62.09169271696269,61.04918232959104
15,16,20210722_Tvib300K_Trot300K_15.spec,0.02038311958313,1.3828277587890601e-05,0.008540391921997,88.67349076271059,3230000.0,300,296,300,300,0.00036144256591800003,0.057995557785034,cython,300,fft,0.003271579742432,90.9779977798462,0.000795841217041,0.17032718658447302,91.22,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626951949.53953,radis,60000,0,0,0,1,1,CO,CO_2000_34000_60000_fft,simple,hapi,1,2.26246309280395,1000,"{'_check_line_databank': 0.00036144256591796875, 'reinitialize_1': 0.003163576126098633, 'reinitialize_2': 1.0967254638671875e-05, 'reinitialize_3': 0.0015969276428222656, 'reinitialize_4': 3.0040740966796875e-05, 'reinitialize': 0.004807233810424805, 'scaled_eq_linestrength': 0.006904125213623047, 'calc_lineshift': 0.0007958412170410156, 'calc_hwhm': 0.0032715797424316406, '_generate_wavenumber_arrays': 0.05799555778503418, 'precompute_DLM_lineshapes': 2.262463092803955, 'DLM_Initialized_vectors': 1.3828277587890625e-05, 'DLM_closest_matching_line': 0.00854039192199707, 'DLM_Distribute_lines': 0.020383119583129883, 'DLM_convolve': 88.67349076271057, 'calc_line_broadening': 90.97799777984619, 'calc_other_spectral_quan': 0.17032718658447266, 'spectrum_calc_before_obj': 91.22253322601318}",0,0.9.29,0.004807233810425,0.0031635761260990006,1.09672546386719e-05,0.001596927642822,3.00407409667969e-05,boltzmann,0.006904125213623,1,91.2225332260132,X,1,652868,boltzmann,6,5,0.01,0.01,34000,34150,2000,1850,cm-1,0.01,3230001,621560234327.2756,1500747708.5702598,66.47272651732813,65.35756270823482
41,42,20210722_Tvib300K_Trot300K.spec,0.049873113632202,5.96046447753906e-06,0.008119106292725,4.379773616790771,230000.0,300,296,300,300,0.00036120414733899995,0.005712032318114999,cython,300,fft,0.004508972167969,4.64419960975647,0.001204967498779,0.008828401565552,4.68,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626958027.61925,radis,115755,0,0,0,1,1,CO,CO_2000_4000_115755_fft,simple,hapi,1,0.202139616012573,1000,"{'_check_line_databank': 0.0003612041473388672, 'reinitialize_1': 0.006592273712158203, 'reinitialize_2': 1.2636184692382812e-05, 'reinitialize_3': 0.0018775463104248047, 'reinitialize_4': 2.9325485229492188e-05, 'reinitialize': 0.008517980575561523, 'scaled_eq_linestrength': 0.009251594543457031, 'calc_lineshift': 0.0012049674987792969, 'calc_hwhm': 0.00450897216796875, '_generate_wavenumber_arrays': 0.005712032318115234, 'precompute_DLM_lineshapes': 0.20213961601257324, 'DLM_Initialized_vectors': 5.9604644775390625e-06, 'DLM_closest_matching_line': 0.00811910629272461, 'DLM_Distribute_lines': 0.04987311363220215, 'DLM_convolve': 4.3797736167907715, 'calc_line_broadening': 4.64419960975647, 'calc_other_spectral_quan': 0.008828401565551758, 'spectrum_calc_before_obj': 4.682656764984131}",0,0.9.29,0.008517980575561999,0.006592273712158,1.26361846923828e-05,0.001877546310425,2.93254852294922e-05,boltzmann,0.009251594543456998,1,4.68265676498413,X,1,115755,boltzmann,8,5,0.01,0.01,4000,4150,2000,1850,cm-1,0.01,230002,51062366669.98658,116421220.1639473,5.180764108568978,5.070144138139905
42,43,20210722_Tvib300K_Trot300K_1.spec,0.114562749862671,9.775161743164059e-06,0.013260126113892,1.93675422668457,430000.0,300,296,300,300,0.000321626663208,0.010857105255127,cython,300,fft,0.005383014678955,2.57306694984436,0.001221418380737,0.015784740447998002,2.63,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626958034.12716,radis,210572,0,0,0,1,1,CO,CO_2000_6000_210572_fft,simple,hapi,1,0.49812221527099604,1000,"{'_check_line_databank': 0.0003216266632080078, 'reinitialize_1': 0.010735273361206055, 'reinitialize_2': 1.2159347534179688e-05, 'reinitialize_3': 0.0015871524810791016, 'reinitialize_4': 2.9802322387695312e-05, 'reinitialize': 0.012370586395263672, 'scaled_eq_linestrength': 0.010860919952392578, 'calc_lineshift': 0.0012214183807373047, 'calc_hwhm': 0.005383014678955078, '_generate_wavenumber_arrays': 0.010857105255126953, 'precompute_DLM_lineshapes': 0.4981222152709961, 'DLM_Initialized_vectors': 9.775161743164062e-06, 'DLM_closest_matching_line': 0.013260126113891602, 'DLM_Distribute_lines': 0.1145627498626709, 'DLM_convolve': 1.9367542266845703, 'calc_line_broadening': 2.5730669498443604, 'calc_other_spectral_quan': 0.015784740447998047, 'spectrum_calc_before_obj': 2.6299402713775635}",0,0.9.29,0.012370586395264,0.010735273361206,1.21593475341797e-05,0.001587152481079,2.98023223876953e-05,boltzmann,0.010860919952393,1,2.6299402713775604,X,1,210572,boltzmann,11,5,0.01,0.01,6000,6150,2000,1850,cm-1,0.01,430001,134910533079.84264,312354694.94308746,13.878136486779521,13.60304696477146
43,44,20210722_Tvib300K_Trot300K_2.spec,0.195435523986816,1.12056732177734e-05,0.019668817520141997,24.3748507499695,630000.0,300,296,300,300,0.00038051605224599997,0.018370389938355,cython,300,fft,0.009496927261353,25.434382200241103,0.005380153656005999,0.024443626403809,25.53,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626958066.46275,radis,301576,0,0,0,1,1,CO,CO_2000_8000_301576_fft,simple,hapi,1,0.8287875652313229,1000,"{'_check_line_databank': 0.00038051605224609375, 'reinitialize_1': 0.015872955322265625, 'reinitialize_2': 1.2636184692382812e-05, 'reinitialize_3': 0.002022266387939453, 'reinitialize_4': 3.457069396972656e-05, 'reinitialize': 0.01794886589050293, 'scaled_eq_linestrength': 0.01771068572998047, 'calc_lineshift': 0.005380153656005859, 'calc_hwhm': 0.009496927261352539, '_generate_wavenumber_arrays': 0.018370389938354492, 'precompute_DLM_lineshapes': 0.8287875652313232, 'DLM_Initialized_vectors': 1.1205673217773438e-05, 'DLM_closest_matching_line': 0.0196688175201416, 'DLM_Distribute_lines': 0.1954355239868164, 'DLM_convolve': 24.374850749969482, 'calc_line_broadening': 25.43438220024109, 'calc_other_spectral_quan': 0.024443626403808594, 'spectrum_calc_before_obj': 25.528191328048706}",0,0.9.29,0.017948865890503003,0.015872955322266,1.26361846923828e-05,0.002022266387939,3.4570693969726596e-05,boltzmann,0.017710685729981003,1,25.528191328048703,X,1,301576,boltzmann,13,5,0.01,0.01,8000,8150,2000,1850,cm-1,0.01,630001,237720230965.90036,555237494.5901296,24.653803867765323,24.180592889400145
44,45,20210722_Tvib300K_Trot300K_3.spec,0.259149312973022,1.04904174804688e-05,0.025430679321288997,13.953730583190902,830000.0,300,296,300,300,0.00039005279541,0.019691467285156004,cython,300,fft,0.009927034378052,15.4350030422211,0.0018868446350099998,0.03254246711731,15.54,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626958091.4704301,radis,389355,0,0,0,1,1,CO,CO_2000_10000_389355_fft,simple,hapi,1,1.1756122112274199,1000,"{'_check_line_databank': 0.00039005279541015625, 'reinitialize_1': 0.021126747131347656, 'reinitialize_2': 1.2636184692382812e-05, 'reinitialize_3': 0.0017194747924804688, 'reinitialize_4': 4.506111145019531e-05, 'reinitialize': 0.02291083335876465, 'scaled_eq_linestrength': 0.020705699920654297, 'calc_lineshift': 0.0018868446350097656, 'calc_hwhm': 0.009927034378051758, '_generate_wavenumber_arrays': 0.01969146728515625, 'precompute_DLM_lineshapes': 1.175612211227417, 'DLM_Initialized_vectors': 1.049041748046875e-05, 'DLM_closest_matching_line': 0.025430679321289062, 'DLM_Distribute_lines': 0.25914931297302246, 'DLM_convolve': 13.953730583190918, 'calc_line_broadening': 15.43500304222107, 'calc_other_spectral_quan': 0.03254246711730957, 'spectrum_calc_before_obj': 15.54313349723816}",0,0.9.29,0.022910833358765,0.021126747131348,1.26361846923828e-05,0.00171947479248,4.506111145019529e-05,boltzmann,0.020705699920654,1,15.5431334972382,X,1,389355,boltzmann,14,5,0.01,0.01,10000,10150,2000,1850,cm-1,0.01,830001,341787460910.85,803167635.1380099,35.652289813672446,34.977950510260335
45,46,20210722_Tvib300K_Trot300K_4.spec,0.352573156356811,1.04904174804688e-05,0.02897047996521,27.413111448288003,1030000.0,300,296,300,300,0.000377178192139,0.022321462631226,cython,300,fft,0.012423992156983,29.4699566364288,0.0025808811187740003,0.042742490768433,29.6,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626958133.52192,radis,471366,0,0,0,1,1,CO,CO_2000_12000_471366_fft,simple,hapi,1,1.6496207714080802,1000,"{'_check_line_databank': 0.0003771781921386719, 'reinitialize_1': 0.02730393409729004, 'reinitialize_2': 1.2159347534179688e-05, 'reinitialize_3': 0.0016121864318847656, 'reinitialize_4': 2.9802322387695312e-05, 'reinitialize': 0.02896428108215332, 'scaled_eq_linestrength': 0.02223491668701172, 'calc_lineshift': 0.002580881118774414, 'calc_hwhm': 0.012423992156982422, '_generate_wavenumber_arrays': 0.022321462631225586, 'precompute_DLM_lineshapes': 1.649620771408081, 'DLM_Initialized_vectors': 1.049041748046875e-05, 'DLM_closest_matching_line': 0.02897047996520996, 'DLM_Distribute_lines': 0.3525731563568115, 'DLM_convolve': 27.413111448287964, 'calc_line_broadening': 29.469956636428833, 'calc_other_spectral_quan': 0.04274249076843262, 'spectrum_calc_before_obj': 29.601694583892822}",0,0.9.29,0.028964281082152998,0.02730393409729,1.21593475341797e-05,0.0016121864318849998,2.98023223876953e-05,boltzmann,0.022234916687012003,1,29.601694583892797,X,1,471366,boltzmann,16,5,0.01,0.01,12000,12150,2000,1850,cm-1,0.01,1030001,489288212574.76154,1155094136.7219713,51.25494002532351,50.304349654241854
46,47,20210722_Tvib300K_Trot300K_5.spec,0.45353484153747603,1.1444091796875e-05,0.036455154418945,68.8264448642731,1230000.0,300,296,300,300,0.00037837028503400004,0.036079406738281,cython,300,fft,0.017490386962891003,71.4951677322388,0.0026571750640869995,0.05396151542663599,71.66,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626958220.74889,radis,543823,0,0,0,1,1,CO,CO_2000_14000_543823_fft,simple,hapi,1,2.14948010444641,1000,"{'_check_line_databank': 0.0003783702850341797, 'reinitialize_1': 0.03148007392883301, 'reinitialize_2': 1.239776611328125e-05, 'reinitialize_3': 0.0016148090362548828, 'reinitialize_4': 2.9087066650390625e-05, 'reinitialize': 0.0331425666809082, 'scaled_eq_linestrength': 0.02563953399658203, 'calc_lineshift': 0.002657175064086914, 'calc_hwhm': 0.017490386962890625, '_generate_wavenumber_arrays': 0.03607940673828125, 'precompute_DLM_lineshapes': 2.149480104446411, 'DLM_Initialized_vectors': 1.1444091796875e-05, 'DLM_closest_matching_line': 0.03645515441894531, 'DLM_Distribute_lines': 0.4535348415374756, 'DLM_convolve': 68.82644486427307, 'calc_line_broadening': 71.49516773223877, 'calc_other_spectral_quan': 0.05396151542663574, 'spectrum_calc_before_obj': 71.66459655761719}",0,0.9.29,0.033142566680907995,0.031480073928833,1.23977661132813e-05,0.0016148090362550001,2.90870666503906e-05,boltzmann,0.025639533996582,1,71.6645965576172,X,1,543823,boltzmann,17,5,0.01,0.01,14000,14150,2000,1850,cm-1,0.01,1230001,625994632748.4203,1483302665.6589348,65.80518077530729,64.59783108944661
47,48,20210722_Tvib300K_Trot300K_6.spec,0.558486223220825,1.07288360595703e-05,0.04406070709228501,77.84276437759401,1430000.0,300,296,300,300,0.0003855228424069999,0.0333092212677,cython,300,fft,0.011577367782592999,81.3863019943237,0.002495527267456,0.06081485748291001,81.56,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626958322.21175,radis,597654,0,0,0,1,1,CO,CO_2000_16000_597654_fft,simple,hapi,1,2.90425491333008,1000,"{'_check_line_databank': 0.00038552284240722656, 'reinitialize_1': 0.03213238716125488, 'reinitialize_2': 1.239776611328125e-05, 'reinitialize_3': 0.0016374588012695312, 'reinitialize_4': 3.0279159545898438e-05, 'reinitialize': 0.033818960189819336, 'scaled_eq_linestrength': 0.03136634826660156, 'calc_lineshift': 0.0024955272674560547, 'calc_hwhm': 0.011577367782592773, '_generate_wavenumber_arrays': 0.033309221267700195, 'precompute_DLM_lineshapes': 2.904254913330078, 'DLM_Initialized_vectors': 1.0728836059570312e-05, 'DLM_closest_matching_line': 0.044060707092285156, 'DLM_Distribute_lines': 0.5584862232208252, 'DLM_convolve': 77.842764377594, 'calc_line_broadening': 81.38630199432373, 'calc_other_spectral_quan': 0.060814857482910156, 'spectrum_calc_before_obj': 81.56014847755432}",0,0.9.29,0.033818960189819,0.032132387161255,1.23977661132813e-05,0.00163745880127,3.02791595458984e-05,boltzmann,0.031366348266602,1,81.56014847755429,X,1,597654,boltzmann,18,5,0.01,0.01,16000,16150,2000,1850,cm-1,0.01,1430001,775976933330.3981,1844356564.3409824,81.80591673545274,80.3217283770498
48,49,20210722_Tvib300K_Trot300K_7.spec,0.588193416595459,1.09672546386719e-05,0.042481184005737,90.8326697349549,1630000.0,300,296,300,300,0.000515222549438,0.033167839050293,cython,300,fft,0.012258768081665003,94.616884469986,0.002543687820435,0.082788705825806,94.81,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626958439.3705199,radis,631550,0,0,0,1,1,CO,CO_2000_18000_631550_fft,simple,hapi,1,3.0989413261413596,1000,"{'_check_line_databank': 0.0005152225494384766, 'reinitialize_1': 0.0305178165435791, 'reinitialize_2': 1.239776611328125e-05, 'reinitialize_3': 0.0015892982482910156, 'reinitialize_4': 2.9325485229492188e-05, 'reinitialize': 0.03215479850769043, 'scaled_eq_linestrength': 0.02770209312438965, 'calc_lineshift': 0.0025436878204345703, 'calc_hwhm': 0.012258768081665039, '_generate_wavenumber_arrays': 0.03316783905029297, 'precompute_DLM_lineshapes': 3.0989413261413574, 'DLM_Initialized_vectors': 1.0967254638671875e-05, 'DLM_closest_matching_line': 0.042481184005737305, 'DLM_Distribute_lines': 0.588193416595459, 'DLM_convolve': 90.83266973495483, 'calc_line_broadening': 94.61688446998596, 'calc_other_spectral_quan': 0.08278870582580566, 'spectrum_calc_before_obj': 94.80809760093689}",0,0.9.29,0.032154798507691006,0.030517816543578997,1.23977661132813e-05,0.0015892982482910002,2.93254852294922e-05,boltzmann,0.02770209312439,1,94.8080976009369,X,1,631550,boltzmann,18,5,0.01,0.01,18000,18150,2000,1850,cm-1,0.01,1630001,890330342737.9946,2121725754.6608942,94.0963997283577,92.40115661548195
49,50,20210722_Tvib300K_Trot300K_8.spec,0.680482625961304,1.09672546386719e-05,0.047837495803833,41.7384657859802,1830000.0,300,296,300,300,0.0006213188171390001,0.037944316864014,cython,300,fft,0.014361381530761998,46.5885970592499,0.005894660949707,0.09392881393432599,46.82,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,1e-06,1,"1,2,3,4,5,6",1626958514.47776,radis,648238,0,0,0,1,1,CO,CO_2000_20000_648238_fft,simple,hapi,1,4.0708577632904,1000,"{'_check_line_databank': 0.0006213188171386719, 'reinitialize_1': 0.04131126403808594, 'reinitialize_2': 1.2636184692382812e-05, 'reinitialize_3': 0.0024085044860839844, 'reinitialize_4': 3.409385681152344e-05, 'reinitialize': 0.04377436637878418, 'scaled_eq_linestrength': 0.03127264976501465, 'calc_lineshift': 0.005894660949707031, 'calc_hwhm': 0.014361381530761719, '_generate_wavenumber_arrays': 0.03794431686401367, 'precompute_DLM_lineshapes': 4.070857763290405, 'DLM_Initialized_vectors': 1.0967254638671875e-05, 'DLM_closest_matching_line': 0.04783749580383301, 'DLM_Distribute_lines': 0.6804826259613037, 'DLM_convolve': 41.738465785980225, 'calc_line_broadening': 46.58859705924988, 'calc_other_spectral_quan': 0.09392881393432617, 'spectrum_calc_before_obj': 46.81648397445679}",0,0.9.29,0.04377436637878399,0.041311264038086,1.26361846923828e-05,0.002408504486084,3.4093856811523404e-05,boltzmann,0.031272649765014995,1,46.816483974456794,X,1,648238,boltzmann,19,5,0.01,0.01,20000,20150,2000,1850,cm-1,0.01,1830001,1060594688708.2675,2533275123.8799567,112.32523645877119,110.32413164497213
