Index,file,Spectral Points,Tgas,Tref,Trot,Tvib,add_at_used,broadening_max_width,broadening_method,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,export_rovib_fraction,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,optimization,parfuncfmt,parsum_mode,path_length,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,rot_distribution,self_absorption,state,thermal_equilibrium,total_lines,vib_distribution,wG,wL,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding,1+wL*wG,Complexity_fft,complexity_final_fft
0,20210807_Tvib300K_Trot300K.spec,230000.0,300,296,300,300,cython,300,fft,4.00997734069824,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628348874.50728,radis,60000,0,0,0,1,1,CO,CO_2000_4000_60000_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00033092498779296875, 'reinitialize': {'copy_database': 0.002899646759033203, 'memory_usage_warning': 0.002407073974609375, 'reset_population': 3.123283386230469e-05, 'value': 0.005358695983886719}, 'scaled_eq_linestrength': 0.009212970733642578, 'calc_lineshift': 0.0010461807250976562, 'calc_hwhm': 0.015119314193725586, 'generate_wavenumber_arrays': 0.004405021667480469, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.13536906242370605, 'DLM_Initialized_vectors': 8.821487426757812e-06, 'DLM_closest_matching_line': 0.00350189208984375, 'DLM_Distribute_lines': 0.019695281982421875, 'DLM_convolve': 3.8034400939941406, 'value': 3.964324474334717}, 'calc_other_spectral_quan': 0.010076284408569336, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,115755,boltzmann,6,5,0.01,0.01,4000,4150,2000,1850,cm-1,0.01,230002,,88025800.61176503,4.115201440708632
1,20210807_Tvib300K_Trot300K_1.spec,430000.0,300,296,300,300,cython,300,fft,1.92255258560181,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628348879.0232801,radis,60000,0,0,0,1,1,CO,CO_2000_6000_60000_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00030350685119628906, 'reinitialize': {'copy_database': 0.0045049190521240234, 'memory_usage_warning': 0.0015151500701904297, 'reset_population': 3.0994415283203125e-05, 'value': 0.0060689449310302734}, 'scaled_eq_linestrength': 0.007657527923583984, 'calc_lineshift': 0.0009186267852783203, 'calc_hwhm': 0.014659643173217773, 'generate_wavenumber_arrays': 0.010208606719970703, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.3240835666656494, 'DLM_Initialized_vectors': 1.0013580322265625e-05, 'DLM_closest_matching_line': 0.0038909912109375, 'DLM_Distribute_lines': 0.02134990692138672, 'DLM_convolve': 1.4984242916107178, 'value': 1.8552985191345215}, 'calc_other_spectral_quan': 0.027327775955200195, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,210572,boltzmann,6,5,0.01,0.01,6000,6150,2000,1850,cm-1,0.01,430001,,172910634.7006377,8.083562865531098
2,20210807_Tvib300K_Trot300K_2.spec,630000.0,300,296,300,300,cython,300,fft,13.2995841503143,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628348896.19525,radis,60000,0,0,0,1,1,CO,CO_2000_8000_60000_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0004930496215820312, 'reinitialize': {'copy_database': 0.005700826644897461, 'memory_usage_warning': 0.0026667118072509766, 'reset_population': 5.7220458984375e-05, 'value': 0.008476734161376953}, 'scaled_eq_linestrength': 0.008676290512084961, 'calc_lineshift': 0.0011305809020996094, 'calc_hwhm': 0.027489185333251953, 'generate_wavenumber_arrays': 0.015743494033813477, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.47985196113586426, 'DLM_Initialized_vectors': 9.298324584960938e-06, 'DLM_closest_matching_line': 0.004950523376464844, 'DLM_Distribute_lines': 0.02365899085998535, 'DLM_convolve': 12.69097113609314, 'value': 13.207125663757324}, 'calc_other_spectral_quan': 0.030303001403808594, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,301576,boltzmann,6,5,0.01,0.01,8000,8150,2000,1850,cm-1,0.01,630001,,260793368.67112148,12.192075948460236
3,20210807_Tvib300K_Trot300K_3.spec,830000.0,300,296,300,300,cython,300,fft,8.60701465606689,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628348909.94324,radis,60000,0,0,0,1,1,CO,CO_2000_10000_60000_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00028061866760253906, 'reinitialize': {'copy_database': 0.004183530807495117, 'memory_usage_warning': 0.0019130706787109375, 'reset_population': 5.698204040527344e-05, 'value': 0.00617671012878418}, 'scaled_eq_linestrength': 0.008603572845458984, 'calc_lineshift': 0.0007548332214355469, 'calc_hwhm': 0.0316312313079834, 'generate_wavenumber_arrays': 0.019993066787719727, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.6160073280334473, 'DLM_Initialized_vectors': 1.049041748046875e-05, 'DLM_closest_matching_line': 0.005499362945556641, 'DLM_Distribute_lines': 0.022004365921020508, 'DLM_convolve': 7.8476598262786865, 'value': 8.499841213226318}, 'calc_other_spectral_quan': 0.03962135314941406, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,389355,boltzmann,6,5,0.01,0.01,10000,10150,2000,1850,cm-1,0.01,830001,,350678826.60955364,16.394216269096557
4,20210807_Tvib300K_Trot300K_4.spec,1030000.0,300,296,300,300,cython,300,fft,14.8043015003204,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628348930.97523,radis,60000,0,0,0,1,1,CO,CO_2000_12000_60000_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0004367828369140625, 'reinitialize': {'copy_database': 0.004488945007324219, 'memory_usage_warning': 0.0017807483673095703, 'reset_population': 3.4332275390625e-05, 'value': 0.0063266754150390625}, 'scaled_eq_linestrength': 0.007335662841796875, 'calc_lineshift': 0.000858306884765625, 'calc_hwhm': 0.03540635108947754, 'generate_wavenumber_arrays': 0.022909164428710938, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.8351070880889893, 'DLM_Initialized_vectors': 1.049041748046875e-05, 'DLM_closest_matching_line': 0.005721330642700195, 'DLM_Distribute_lines': 0.02226877212524414, 'DLM_convolve': 13.810138463973999, 'value': 14.683853387832642}, 'calc_other_spectral_quan': 0.047051429748535156, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,471366,boltzmann,6,5,0.01,0.01,12000,12150,2000,1850,cm-1,0.01,1030001,,442073064.67137176,20.66689197929275
5,20210807_Tvib300K_Trot300K_5.spec,1230000.0,300,296,300,300,cython,300,fft,28.848247051239,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628348967.04323,radis,60000,0,0,0,1,1,CO,CO_2000_14000_60000_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0003733634948730469, 'reinitialize': {'copy_database': 0.004073381423950195, 'memory_usage_warning': 0.0016150474548339844, 'reset_population': 3.2901763916015625e-05, 'value': 0.00574040412902832}, 'scaled_eq_linestrength': 0.00681757926940918, 'calc_lineshift': 0.0009098052978515625, 'calc_hwhm': 0.03741145133972168, 'generate_wavenumber_arrays': 0.030848979949951172, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.9338617324829102, 'DLM_Initialized_vectors': 9.775161743164062e-06, 'DLM_closest_matching_line': 0.0066983699798583984, 'DLM_Distribute_lines': 0.022269248962402344, 'DLM_convolve': 27.72825813293457, 'value': 28.699885845184326}, 'calc_other_spectral_quan': 0.06613826751708984, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,543823,boltzmann,6,5,0.01,0.01,14000,14150,2000,1850,cm-1,0.01,1230001,,534678867.8538021,24.996208293666413
6,20210807_Tvib300K_Trot300K_6.spec,1430000.0,300,296,300,300,cython,300,fft,30.842700004577605,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628349007.28725,radis,60000,0,0,0,1,1,CO,CO_2000_16000_60000_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0002837181091308594, 'reinitialize': {'copy_database': 0.00290679931640625, 'memory_usage_warning': 0.0015766620635986328, 'reset_population': 4.839897155761719e-05, 'value': 0.004553079605102539}, 'scaled_eq_linestrength': 0.007947206497192383, 'calc_lineshift': 0.0011320114135742188, 'calc_hwhm': 0.03629803657531738, 'generate_wavenumber_arrays': 0.02984786033630371, 'calc_line_broadening': {'precompute_DLM_lineshapes': 1.191159963607788, 'DLM_Initialized_vectors': 9.775161743164062e-06, 'DLM_closest_matching_line': 0.006167173385620117, 'DLM_Distribute_lines': 0.02428126335144043, 'DLM_convolve': 29.462903022766113, 'value': 30.693886756896973}, 'calc_other_spectral_quan': 0.0686342716217041, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,597654,boltzmann,6,5,0.01,0.01,16000,16150,2000,1850,cm-1,0.01,1430001,,628297291.1491259,29.37286454381469
14,20210807_Tvib300K_Trot300K.spec,5000.0,300,296,300,300,cython,300,fft,0.043820142745972,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628343514.58791,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0002665519714355469, 'reinitialize': {'copy_database': 0.0005888938903808594, 'memory_usage_warning': 0.0011620521545410156, 'reset_population': 2.7418136596679688e-05, 'value': 0.0017924308776855469}, 'scaled_eq_linestrength': 0.005606174468994141, 'calc_lineshift': 0.0007379055023193359, 'calc_hwhm': 0.011583566665649414, 'generate_wavenumber_arrays': 0.0006556510925292969, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.008300065994262695, 'DLM_Initialized_vectors': 8.344650268554688e-06, 'DLM_closest_matching_line': 0.0009779930114746094, 'DLM_Distribute_lines': 0.00041031837463378906, 'DLM_convolve': 0.01237177848815918, 'value': 0.022249460220336914}, 'calc_other_spectral_quan': 0.0008418560028076172, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.08,5001,,681375.4553132991,0.031854265861616285
15,20210807_Tvib300K_Trot300K_1.spec,5714.28571428571,300,296,300,300,cython,300,fft,0.055551290512084996,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628343514.71591,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.00024008750915527344, 'reinitialize': {'copy_database': 0.0006470680236816406, 'memory_usage_warning': 0.001218557357788086, 'reset_population': 3.123283386230469e-05, 'value': 0.0019116401672363281}, 'scaled_eq_linestrength': 0.006163120269775391, 'calc_lineshift': 0.0007455348968505859, 'calc_hwhm': 0.011251449584960938, 'generate_wavenumber_arrays': 0.0005710124969482422, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.009125232696533203, 'DLM_Initialized_vectors': 8.821487426757812e-06, 'DLM_closest_matching_line': 0.0010859966278076172, 'DLM_Distribute_lines': 0.00045561790466308594, 'DLM_convolve': 0.022974252700805664, 'value': 0.0339045524597168}, 'calc_other_spectral_quan': 0.0006866455078125, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.07,5001,,790923.3905408689,0.0369756259372087
16,20210807_Tvib300K_Trot300K_2.spec,6666.66666666667,300,296,300,300,cython,300,fft,0.053179502487183,0,1,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.13753507880165697,0.20180288881201602,0,0,1e-06,1,"1,2,3,4,5,6",1628343514.84391,radis,19238,0,0,0,1,1,CO,CO_5000_5100_19238_fft,simple,hapi,full summation,1,1000,"{'spectrum_calculation': {'check_line_databank': 0.0002357959747314453, 'reinitialize': {'copy_database': 0.0004215240478515625, 'memory_usage_warning': 0.0012350082397460938, 'reset_population': 3.0517578125e-05, 'value': 0.0017004013061523438}, 'scaled_eq_linestrength': 0.006231069564819336, 'calc_lineshift': 0.0008943080902099609, 'calc_hwhm': 0.011817216873168945, 'generate_wavenumber_arrays': 0.0005700588226318359, 'calc_line_broadening': {'precompute_DLM_lineshapes': 0.00827932357788086, 'DLM_Initialized_vectors': 6.4373016357421875e-06, 'DLM_closest_matching_line': 0.0015902519226074219, 'DLM_Distribute_lines': 0.00046253204345703125, 'DLM_convolve': 0.02052021026611328, 'value': 0.031015396118164062}, 'calc_other_spectral_quan': 0.0006439685821533203, 'generate_spectrum_obj': {}}}",0,0.9.29,boltzmann,1,X,1,19238,boltzmann,3,5,0.01,0.01,5100,5250,5000,4850,cm-1,0.06,5001,,939186.694812589,0.0439069274318032
