file,Tgas,Tref,Trot,Tvib,broadening_max_width,broadening_method,calculation_time,cutoff,db_use_cached,dbformat,dbpath,dlm_log_pG,dlm_log_pL,export_lines,folding_thresh,include_neighbouring_lines,isotope,last_modified,levelsfmt,lines_calculated,lines_cutoff,lines_in_continuum,load_energies,lvl_use_cached,mole_fraction,molecule,name,parfuncfmt,path_length,pressure_mbar,profiler,pseudo_continuum_threshold,radis_version,rot_distribution,self_absorption,state,thermal_equilibrium,total_lines,vib_distribution,warning_broadening_threshold,warning_linestrength_cutoff,wavenum_max,wavenum_max_calc,wavenum_min,wavenum_min_calc,waveunit,wstep,zero_padding,spectral_points,aggregate__center_lines,aggregate_wing_lines,calc_hwhm,calc_line_broadening,calc_lineshift,calc_other_spectral_quan,get_matching_line,init_vectors,init_vectors_apply,scaled_eq_lineshift,spectrum_calc_before_obj,voigt_broadening
20210701_Tvib3000K_Trot3000K_10.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,8.17,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625085720.3659544,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_8000_60000,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.008046388626098633, 'calc_lineshift': 0.0009560585021972656, 'calc_hwhm': 0.02054286003112793, 'init_vectors': 0.26256656646728516, 'voigt_broadening': 6.646325349807739, 'init_vectors_apply': 0.1904594898223877, 'get_matching_line': 0.005843639373779297, 'aggregate__center_lines': 0.8668789863586426, 'aggregate_wing_lines': 0.005998849868774414, 'calc_line_broadening': 8.02348279953003, 'calc_other_spectral_quan': 0.06758785247802734, 'spectrum_calc_before_obj': 8.170446634292603}",0.0,0.9.29,boltzmann,1.0,X,1.0,286826.0,boltzmann,0.01,0.01,8000.0,8005.0,2000.0,1995.0,cm-1,0.005,1202001.0,1202000.0,0.8668789863586426,0.005998849868774414,0.02054286003112793,8.02348279953003,0.0009560585021972656,0.06758785247802734,0.005843639373779297,0.26256656646728516,0.1904594898223877,0.008046388626098633,8.170446634292603,6.646325349807739
20210701_Tvib3000K_Trot3000K_11.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,7.94,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625085742.9422011,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_10000_60000,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.008939504623413086, 'calc_lineshift': 0.0010023117065429688, 'calc_hwhm': 0.024648427963256836, 'init_vectors': 0.24372005462646484, 'voigt_broadening': 6.4961323738098145, 'init_vectors_apply': 0.15840578079223633, 'get_matching_line': 0.004777193069458008, 'aggregate__center_lines': 0.8441088199615479, 'aggregate_wing_lines': 0.005432605743408203, 'calc_line_broadening': 7.785168647766113, 'calc_other_spectral_quan': 0.0653843879699707, 'spectrum_calc_before_obj': 7.944391489028931}",0.0,0.9.29,boltzmann,1.0,X,1.0,374884.0,boltzmann,0.01,0.01,10000.0,10005.0,2000.0,1995.0,cm-1,0.005,1602001.0,1602000.0,0.8441088199615479,0.005432605743408203,0.024648427963256836,7.785168647766113,0.0010023117065429688,0.0653843879699707,0.004777193069458008,0.24372005462646484,0.15840578079223633,0.008939504623413086,7.944391489028931,6.4961323738098145
20210701_Tvib3000K_Trot3000K_12.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,8.06,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625085769.388225,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_12000_60000,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.007540225982666016, 'calc_lineshift': 0.0008451938629150391, 'calc_hwhm': 0.025844573974609375, 'init_vectors': 0.25409984588623047, 'voigt_broadening': 6.600686073303223, 'init_vectors_apply': 0.14928364753723145, 'get_matching_line': 0.004638671875, 'aggregate__center_lines': 0.8349471092224121, 'aggregate_wing_lines': 0.005907297134399414, 'calc_line_broadening': 7.882277965545654, 'calc_other_spectral_quan': 0.08420658111572266, 'spectrum_calc_before_obj': 8.060120344161987}",0.0,0.9.29,boltzmann,1.0,X,1.0,457509.0,boltzmann,0.01,0.01,12000.0,12005.0,2000.0,1995.0,cm-1,0.005,2002001.0,2002000.0,0.8349471092224121,0.005907297134399414,0.025844573974609375,7.882277965545654,0.0008451938629150391,0.08420658111572266,0.004638671875,0.25409984588623047,0.14928364753723145,0.007540225982666016,8.060120344161987,6.600686073303223
20210701_Tvib3000K_Trot3000K_13.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,8.04,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625085800.5577676,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_14000_60000,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.007677316665649414, 'calc_lineshift': 0.0008709430694580078, 'calc_hwhm': 0.030064821243286133, 'init_vectors': 0.2723550796508789, 'voigt_broadening': 6.526922225952148, 'init_vectors_apply': 0.14629054069519043, 'get_matching_line': 0.005095005035400391, 'aggregate__center_lines': 0.843646764755249, 'aggregate_wing_lines': 0.006454944610595703, 'calc_line_broadening': 7.832563877105713, 'calc_other_spectral_quan': 0.09732770919799805, 'spectrum_calc_before_obj': 8.039196491241455}",0.0,0.9.29,boltzmann,1.0,X,1.0,530901.0,boltzmann,0.01,0.01,14000.0,14005.0,2000.0,1995.0,cm-1,0.005,2402001.0,2402000.0,0.843646764755249,0.006454944610595703,0.030064821243286133,7.832563877105713,0.0008709430694580078,0.09732770919799805,0.005095005035400391,0.2723550796508789,0.14629054069519043,0.007677316665649414,8.039196491241455,6.526922225952148
20210701_Tvib3000K_Trot3000K_14.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,8.18,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625085837.3101394,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_16000_60000,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.0075490474700927734, 'calc_lineshift': 0.0009343624114990234, 'calc_hwhm': 0.03164982795715332, 'init_vectors': 0.24473905563354492, 'voigt_broadening': 6.670283079147339, 'init_vectors_apply': 0.1433858871459961, 'get_matching_line': 0.005174875259399414, 'aggregate__center_lines': 0.8479914665222168, 'aggregate_wing_lines': 0.006852626800537109, 'calc_line_broadening': 7.949965238571167, 'calc_other_spectral_quan': 0.11227893829345703, 'spectrum_calc_before_obj': 8.175076246261597}",0.0,0.9.29,boltzmann,1.0,X,1.0,586274.0,boltzmann,0.01,0.01,16000.0,16005.0,2000.0,1995.0,cm-1,0.005,2802001.0,2802000.0,0.8479914665222168,0.006852626800537109,0.03164982795715332,7.949965238571167,0.0009343624114990234,0.11227893829345703,0.005174875259399414,0.24473905563354492,0.1433858871459961,0.0075490474700927734,8.175076246261597,6.670283079147339
20210701_Tvib3000K_Trot3000K_15.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,8.12,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625085876.6209257,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_18000_60000,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.0083465576171875, 'calc_lineshift': 0.0008642673492431641, 'calc_hwhm': 0.03055548667907715, 'init_vectors': 0.2409062385559082, 'voigt_broadening': 6.588246822357178, 'init_vectors_apply': 0.13959527015686035, 'get_matching_line': 0.005363941192626953, 'aggregate__center_lines': 0.8549232482910156, 'aggregate_wing_lines': 0.007238149642944336, 'calc_line_broadening': 7.868094205856323, 'calc_other_spectral_quan': 0.13201260566711426, 'spectrum_calc_before_obj': 8.120861768722534}",0.0,0.9.29,boltzmann,1.0,X,1.0,621554.0,boltzmann,0.01,0.01,18000.0,18005.0,2000.0,1995.0,cm-1,0.005,3202001.0,3202000.0,0.8549232482910156,0.007238149642944336,0.03055548667907715,7.868094205856323,0.0008642673492431641,0.13201260566711426,0.005363941192626953,0.2409062385559082,0.13959527015686035,0.0083465576171875,8.120861768722534,6.588246822357178
20210701_Tvib3000K_Trot3000K_16.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,8.09,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625085921.9847605,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_20000_60000,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.007697582244873047, 'calc_lineshift': 0.0008153915405273438, 'calc_hwhm': 0.030925989151000977, 'init_vectors': 0.24126052856445312, 'voigt_broadening': 6.523789405822754, 'init_vectors_apply': 0.15377259254455566, 'get_matching_line': 0.006076812744140625, 'aggregate__center_lines': 0.8544158935546875, 'aggregate_wing_lines': 0.007553815841674805, 'calc_line_broadening': 7.818127393722534, 'calc_other_spectral_quan': 0.14776945114135742, 'spectrum_calc_before_obj': 8.092474937438965}",0.0,0.9.29,boltzmann,1.0,X,1.0,639341.0,boltzmann,0.01,0.01,20000.0,20005.0,2000.0,1995.0,cm-1,0.005,3602001.0,3602000.0,0.8544158935546875,0.007553815841674805,0.030925989151000977,7.818127393722534,0.0008153915405273438,0.14776945114135742,0.006076812744140625,0.24126052856445312,0.15377259254455566,0.007697582244873047,8.092474937438965,6.523789405822754
20210701_Tvib3000K_Trot3000K_17.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,8.15,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625085970.5512211,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_22000_60000,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.008354902267456055, 'calc_lineshift': 0.0007882118225097656, 'calc_hwhm': 0.03130459785461426, 'init_vectors': 0.242933988571167, 'voigt_broadening': 6.564720869064331, 'init_vectors_apply': 0.14767718315124512, 'get_matching_line': 0.006159782409667969, 'aggregate__center_lines': 0.8542666435241699, 'aggregate_wing_lines': 0.008016109466552734, 'calc_line_broadening': 7.8545427322387695, 'calc_other_spectral_quan': 0.16518807411193848, 'spectrum_calc_before_obj': 8.154955863952637}",0.0,0.9.29,boltzmann,1.0,X,1.0,644629.0,boltzmann,0.01,0.01,22000.0,22005.0,2000.0,1995.0,cm-1,0.005,4002001.0,4002000.0,0.8542666435241699,0.008016109466552734,0.03130459785461426,7.8545427322387695,0.0007882118225097656,0.16518807411193848,0.006159782409667969,0.242933988571167,0.14767718315124512,0.008354902267456055,8.154955863952637,6.564720869064331
20210701_Tvib3000K_Trot3000K_18.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,8.09,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625086023.412057,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_24000_60000,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.008005142211914062, 'calc_lineshift': 0.0008769035339355469, 'calc_hwhm': 0.0112457275390625, 'init_vectors': 0.24375200271606445, 'voigt_broadening': 6.495883226394653, 'init_vectors_apply': 0.14427590370178223, 'get_matching_line': 0.006238222122192383, 'aggregate__center_lines': 0.8634834289550781, 'aggregate_wing_lines': 0.008454561233520508, 'calc_line_broadening': 7.7911436557769775, 'calc_other_spectral_quan': 0.18262124061584473, 'spectrum_calc_before_obj': 8.093984127044678}",0.0,0.9.29,boltzmann,1.0,X,1.0,644682.0,boltzmann,0.01,0.01,24000.0,24005.0,2000.0,1995.0,cm-1,0.005,4402001.0,4402000.0,0.8634834289550781,0.008454561233520508,0.0112457275390625,7.7911436557769775,0.0008769035339355469,0.18262124061584473,0.006238222122192383,0.24375200271606445,0.14427590370178223,0.008005142211914062,8.093984127044678,6.495883226394653
20210701_Tvib3000K_Trot3000K_19.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,8.23,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625086080.5191145,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_26000_60000,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.007744312286376953, 'calc_lineshift': 0.0008168220520019531, 'calc_hwhm': 0.010847806930541992, 'init_vectors': 0.24442458152770996, 'voigt_broadening': 6.617309093475342, 'init_vectors_apply': 0.15018463134765625, 'get_matching_line': 0.006794452667236328, 'aggregate__center_lines': 0.8510606288909912, 'aggregate_wing_lines': 0.008771181106567383, 'calc_line_broadening': 7.907342433929443, 'calc_other_spectral_quan': 0.20076298713684082, 'spectrum_calc_before_obj': 8.232595682144165}",0.0,0.9.29,boltzmann,1.0,X,1.0,644682.0,boltzmann,0.01,0.01,26000.0,26005.0,2000.0,1995.0,cm-1,0.005,4802001.0,4802000.0,0.8510606288909912,0.008771181106567383,0.010847806930541992,7.907342433929443,0.0008168220520019531,0.20076298713684082,0.006794452667236328,0.24442458152770996,0.15018463134765625,0.007744312286376953,8.232595682144165,6.617309093475342
20210701_Tvib3000K_Trot3000K_20.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,8.38,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625086142.3886466,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_28000_60000,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.007977008819580078, 'calc_lineshift': 0.0008840560913085938, 'calc_hwhm': 0.010864734649658203, 'init_vectors': 0.2453916072845459, 'voigt_broadening': 6.6298112869262695, 'init_vectors_apply': 0.14596915245056152, 'get_matching_line': 0.008620500564575195, 'aggregate__center_lines': 0.8745748996734619, 'aggregate_wing_lines': 0.013289213180541992, 'calc_line_broadening': 7.947662591934204, 'calc_other_spectral_quan': 0.23949146270751953, 'spectrum_calc_before_obj': 8.382209300994873}",0.0,0.9.29,boltzmann,1.0,X,1.0,644682.0,boltzmann,0.01,0.01,28000.0,28005.0,2000.0,1995.0,cm-1,0.005,5202001.0,5202000.0,0.8745748996734619,0.013289213180541992,0.010864734649658203,7.947662591934204,0.0008840560913085938,0.23949146270751953,0.008620500564575195,0.2453916072845459,0.14596915245056152,0.007977008819580078,8.382209300994873,6.6298112869262695
20210701_Tvib3000K_Trot3000K_21.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,8.53,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625086210.065182,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_30000_60000,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.00789332389831543, 'calc_lineshift': 0.0009393692016601562, 'calc_hwhm': 0.010788202285766602, 'init_vectors': 0.24367642402648926, 'voigt_broadening': 6.77079701423645, 'init_vectors_apply': 0.15564799308776855, 'get_matching_line': 0.007209300994873047, 'aggregate__center_lines': 0.8864467144012451, 'aggregate_wing_lines': 0.009701728820800781, 'calc_line_broadening': 8.103189706802368, 'calc_other_spectral_quan': 0.2586994171142578, 'spectrum_calc_before_obj': 8.526407957077026}",0.0,0.9.29,boltzmann,1.0,X,1.0,644682.0,boltzmann,0.01,0.01,30000.0,30005.0,2000.0,1995.0,cm-1,0.005,5602001.0,5602000.0,0.8864467144012451,0.009701728820800781,0.010788202285766602,8.103189706802368,0.0009393692016601562,0.2586994171142578,0.007209300994873047,0.24367642402648926,0.15564799308776855,0.00789332389831543,8.526407957077026,6.77079701423645
20210701_Tvib3000K_Trot3000K_22.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,8.44,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625086281.0896485,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_32000_60000,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.007765054702758789, 'calc_lineshift': 0.0008192062377929688, 'calc_hwhm': 0.010970830917358398, 'init_vectors': 0.24516940116882324, 'voigt_broadening': 6.687493801116943, 'init_vectors_apply': 0.15483450889587402, 'get_matching_line': 0.0073931217193603516, 'aggregate__center_lines': 0.8609273433685303, 'aggregate_wing_lines': 0.010225057601928711, 'calc_line_broadening': 7.9957804679870605, 'calc_other_spectral_quan': 0.27081894874572754, 'spectrum_calc_before_obj': 8.441901206970215}",0.0,0.9.29,boltzmann,1.0,X,1.0,644682.0,boltzmann,0.01,0.01,32000.0,32005.0,2000.0,1995.0,cm-1,0.005,6002001.0,6002000.0,0.8609273433685303,0.010225057601928711,0.010970830917358398,7.9957804679870605,0.0008192062377929688,0.27081894874572754,0.0073931217193603516,0.24516940116882324,0.15483450889587402,0.007765054702758789,8.441901206970215,6.687493801116943
20210701_Tvib3000K_Trot3000K_23.spec,3000.0,296.0,3000.0,3000.0,10.0,voigt,8.38,0.0,1.0,hitemp-radisdb,/home/pipebomb/.radisdb/CO-05_HITEMP2019.h5,0.1375350788016573,0.20180288881201608,0.0,1e-06,1.0,"1,2,3,4,5,6",1625086354.7368026,radis,60000.0,0.0,0.0,0.0,1.0,1.0,CO,CO_2000_34000_60000,hapi,1.0,100.0,"{'scaled_eq_lineshift': 0.007749319076538086, 'calc_lineshift': 0.000820159912109375, 'calc_hwhm': 0.010937690734863281, 'init_vectors': 0.24196171760559082, 'voigt_broadening': 6.609198331832886, 'init_vectors_apply': 0.1420612335205078, 'get_matching_line': 0.007228851318359375, 'aggregate__center_lines': 0.8699760437011719, 'aggregate_wing_lines': 0.01117849349975586, 'calc_line_broadening': 7.911071062088013, 'calc_other_spectral_quan': 0.28732967376708984, 'spectrum_calc_before_obj': 8.379598379135132}",0.0,0.9.29,boltzmann,1.0,X,1.0,644682.0,boltzmann,0.01,0.01,34000.0,34005.0,2000.0,1995.0,cm-1,0.005,6402001.0,6402000.0,0.8699760437011719,0.01117849349975586,0.010937690734863281,7.911071062088013,0.000820159912109375,0.28732967376708984,0.007228851318359375,0.24196171760559082,0.1420612335205078,0.007749319076538086,8.379598379135132,6.609198331832886
